!MOLECULE
NaCl
!MOLECULAR WEIGHT
58
! NUMBER OF ENERGY LEVELS
244
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J + V
    1     0.000000000  16.0     0_0
    2     0.417020742  48.0     0_1
    3     1.320565684  80.0     0_2
    4     2.641131367 112.0     0_3
    5     4.378717793 144.0     0_4
    6     6.533324962 176.0     0_5
    7     9.104952872 208.0     0_6
    8    12.163104982 240.0     0_7
    9    15.638277834 272.0     0_8
   10    19.530471428 304.0     0_9
   11    23.909189221 336.0     0_10
   12    28.704927757 368.0     0_11
   13    33.917687035 400.0     0_12
   14    39.547467055 432.0     0_13
   15    45.594267817 464.0     0_14
   16    52.127592779 496.0     0_15
   17    59.077938483 528.0     0_16
   18    66.445304929 560.0     0_17
   19    74.299195574 592.0     0_18
   20    82.500603505 624.0     0_19
   21    91.188535635 656.0     0_20
   22   100.293488507 688.0     0_21
   23   109.884965578 720.0     0_22
   24   119.823959935 752.0     0_23
   25   130.249478490 784.0     0_24
   26   141.092017789 816.0     0_25
   27   152.351577829 848.0     0_26
   28   164.097662068 880.0     0_27
   29   176.191263593 912.0     0_28
   30   188.771389317 944.0     0_29
   31   201.768535783 976.0     0_30
   32   215.182702992 1008.0     0_31
   33   229.083394400 1040.0     0_32
   34   243.401106549 1072.0     0_33
   35   258.066335985 1104.0     0_34
   36   273.287593076 1136.0     0_35
   37   288.856367453 1168.0     0_36
   38   304.842162572 1200.0     0_37
   39   321.314481890 1232.0     0_38
   40   338.134318493 1264.0     0_39
   41   355.440679296 1296.0     0_40
   42   373.181359000 1328.0     0_41
   43   391.373966585 1360.0     0_42
   44   409.931389614 1392.0     0_43
   45   428.975336843 1424.0     0_44
   46   448.366801357 1456.0     0_45
   47   468.244790070 1488.0     0_46
   48   488.539799525 1520.0     0_47
   49   509.251829722 1552.0     0_48
   50   530.450384119 1584.0     0_49
   51   551.996455801 1616.0     0_50
   52   573.959548225 1648.0     0_51
   53   596.409164849 1680.0     0_52
   54   619.275802215 1712.0     0_53
   55   642.489956866 1744.0     0_54
   56   666.190635716 1776.0     0_55
   57   690.308335308 1808.0     0_56
   58   714.843055643 1840.0     0_57
   59   739.794796720 1872.0     0_58
   60   765.163558539 1904.0     0_59
   61   791.018844557 1936.0     0_60
   62   361.195213246  16.0     1_0
   63   361.626486972  48.0     1_1
   64   362.460528457  80.0     1_2
   65   363.781094140 112.0     1_3
   66   365.449177109 144.0     1_4
   67   367.603784278 176.0     1_5
   68   370.244915645 208.0     1_6
   69   372.930527000 240.0     1_7
   70   376.708737150 272.0     1_8
   71   380.600930744 304.0     1_9
   72   384.910145080 336.0     1_10
   73   389.636380159 368.0     1_11
   74   394.779635980 400.0     1_12
   75   400.409416000 432.0     1_13
   76   406.456216762 464.0     1_14
   77   412.920038267 496.0     1_15
   78   419.800880514 528.0     1_16
   79   427.098743503 560.0     1_17
   80   434.883130691 592.0     1_18
   81   443.084538622 624.0     1_19
   82   451.702967294 656.0     1_20
   83   460.738416709 688.0     1_21
   84   470.190886867 720.0     1_22
   85   480.129881223 752.0     1_23
   86   490.416392865 784.0     1_24
   87   501.189428706 816.0     1_25
