|              Line Name |                Species |           QNs | v | J$_u$ | J$_l$ |          Frequency |      Fitted Velocity | Fitted Velocity error |       Fitted Width |  Fitted Width error |     Fitted Amplitude | Fitted Amplitude error |  Fitted Amplitude K | Fitted Amplitude error K | Integrated Intensity | Integrated Intensity error |               Jy/K |               EU_K |  deg |                    Aij | Flag |
| 23Na-35Clv=1-1 J=18-17 | 23Na-35Clv=1-1 J=18-17 | v=1-1 J=18-17 | 1 |    18 |    17 | 232.50997700000002 |   5.3589516928697565 |   0.20681002508588467 |  6.608092402517191 | 0.21397404551122215 |     4.27227668577915 |     0.1160721897888422 |  23.943307330775166 |       0.6505084565147888 |    396.5976910354607 |          6.687734055377408 |  5604.343794135268 |              625.7 |  592 |   0.005799999926239252 |   -d |
| 23Na-35Clv=1-1 J=26-25 | 23Na-35Clv=1-1 J=26-25 | v=1-1 J=26-25 | 1 |    26 |    25 |         335.506563 |    5.476270619658963 |   0.14014623476045263 |  4.661272042035559 | 0.14024601087485247 |    3.964534557878754 |    0.10324284148024039 |   29.08721555132321 |         0.75747776704301 |    339.8572457489715 |          5.395168705441253 |  7336.855090219338 |              737.2 |  848 |   0.017999999225139618 |   -d |
| 23Na-35Clv=2-2 J=17-16 | 23Na-35Clv=2-2 J=17-16 | v=2-2 J=17-16 | 2 |    17 |    16 |         217.980231 |    5.189772405262207 |   0.14090683199562626 |  5.530345757653742 | 0.14216317483041657 |   3.9605695830163787 |     0.0874886832318642 |  19.316572222597067 |      0.42670162280576024 |    267.7763889456831 |         3.6207437686161503 |  4877.220767798131 |             1128.4 |  560 |   0.004900000058114529 |   -d |
| 23Na-35Clv=2-2 J=18-17 | 23Na-35Clv=2-2 J=18-17 | v=2-2 J=18-17 | 2 |    18 |    17 |         230.779167 |    5.638442923546513 |    0.1439689230100762 | 6.1428724691550505 | 0.14693890574217477 |   3.4812327936934415 |    0.07077079006013166 |  19.331637007517624 |       0.3929973389473299 |   297.66657130872625 |          3.727850785086837 |  5553.100913716135 |             1139.5 |  592 |   0.005799999926239252 |   -d |
| 23Na-35Clv=2-2 J=26-25 | 23Na-35Clv=2-2 J=26-25 | v=2-2 J=26-25 | 2 |    26 |    25 |         333.007291 |   7.3656398159909475 |    0.3029413442907104 |  6.487433721512487 | 0.31959172396114083 |   3.4816475147077677 |    0.14020820043232587 |  21.655615583063828 |       0.8720856655733182 |   352.15462911655584 |          8.939129705747732 |  6219.933376823039 |             1250.2 |  848 |   0.017999999225139618 |   -d |
| 23Na-35Clv=2-2 J=27-26 | 23Na-35Clv=2-2 J=27-26 | v=2-2 J=27-26 | 2 |    27 |    26 |         345.762037 |  0.21654204013561615 |    0.8885334123973103 |  4.716780102809306 |  0.9096443155768023 |   1.6412094144418514 |     0.2678822551233654 |  11.539585416515575 |       1.8835196394581832 |   136.43499213099105 |         13.751849995230195 |  7031.147466601634 |             1266.8 |  880 |   0.019999999552965164 |   cd |
|   23Na-35Clv=3-3 J=7-6 |   23Na-35Clv=3-3 J=7-6 |   v=3-3 J=7-6 | 3 |     7 |     6 |  89.15010799999999 |   3.8101270977732953 |   0.48231902276925637 |  5.170183310285525 |  0.4836409628889867 |   1.9459375146955855 |    0.15728788953470726 |   14.12733435440279 |       1.1418961752750785 |   183.08640594438813 |          9.029886257284756 | 7259.9116095527925 |             1561.0 |  240 | 0.00033000000985339284 |   -d |
|   23Na-35Clv=4-4 J=7-6 |   23Na-35Clv=4-4 J=7-6 |   v=4-4 J=7-6 | 4 |     7 |     6 |  88.48549000000001 |   3.7759385091340074 |    0.6801383992187523 |  6.499123246496276 |  0.7070472562102893 |   1.5679589312321798 |    0.14228464198156185 |  11.383243248154491 |       1.0329739241830036 |   185.44311909020948 |         10.480852970335269 | 7259.9116095527925 |             2065.5 |  240 | 0.00031999999191612005 |   -d |
|   23Na-35Clv=4-4 J=8-7 |   23Na-35Clv=4-4 J=8-7 |   v=4-4 J=8-7 | 4 |     8 |     7 |         101.121833 |    3.084207885262827 |   0.33918571139884535 |  5.504739034770475 | 0.34198044749829914 |   1.6551064368313266 |    0.08842381733121138 |  15.516702372076248 |       0.8289775361867382 |     214.104649806822 |          6.998694672538185 |   9375.04804934643 |             2070.4 |  272 |  0.0004799999878741801 |   -d |
|   23Na-35Clv=5-5 J=7-6 |   23Na-35Clv=5-5 J=7-6 |   v=5-5 J=7-6 | 5 |     7 |     6 |           87.82519 |    4.461196156643512 |    0.6378148695296522 |  5.968664923295157 |  0.6519820202479517 |   1.6002777915455144 |    0.14830839875982074 |  11.617875317350784 |       1.0767058659506077 |   173.81763803052442 |          9.933534970809616 | 7259.9116095527925 |             2565.2 |  240 | 0.00031999999191612005 |   -d |
